names,times,abundances,date
B.1.1.7_Y501N_5,52,1,2021-02-21
B.1_D253G_11,52,2,2021-02-21
B.1.526_D253G_12,52,0,2021-02-21
B.1.526_D253G_17,52,1,2021-02-21
B.1_I205T_2,52,0,2021-02-21
B.1.2_T205I_13,52,0,2021-02-21
B.1.2_E484Q_2,52,0,2021-02-21
B.1.2_E484K_25,52,0,2021-02-21
B.1.2_T205I_14,52,1,2021-02-21
B.1_T205I_15,52,0,2021-02-21
B.1_L452R_6,52,0,2021-02-21
B.1_I205T_3,52,0,2021-02-21
B.1_L452R_7,52,0,2021-02-21
B.1.241_T205I_17,52,0,2021-02-21
B.1_T205I_18,52,2,2021-02-21
B.1_T205I_20,52,2,2021-02-21
B.1_T205I_21,52,0,2021-02-21
B.1_D253G_22,52,0,2021-02-21
B.1.2_D253G_24,52,0,2021-02-21
B.1_D253G_25,52,1,2021-02-21
B.1_S477N_5,52,0,2021-02-21
2lin_T205I_25,52,1,2021-02-21
B.1_E484K_32,52,0,2021-02-21
B.1.526_D253G_29,52,1,2021-02-21
B.1.526_D253G_32,52,1,2021-02-21
B.1_T205I_28,52,0,2021-02-21
B.1_D253G_33,52,0,2021-02-21
B.1_I205T_6,52,0,2021-02-21
B.1_L452R_16,52,0,2021-02-21
B.1_D253G_35,52,1,2021-02-21
B.1.526_S477N_7,52,0,2021-02-21
B.1.526_E484K_40,52,0,2021-02-21
B.1.526_S13I_5,52,0,2021-02-21
B.1_G253D_8,52,0,2021-02-21
B.1_G253D_9,52,0,2021-02-21
B.1.526_T205I_33,52,0,2021-02-21
B.1_G253S_1,52,0,2021-02-21
B.1.526_T205I_35,52,0,2021-02-21
B.1_G253D_11,52,4,2021-02-21
B.1_G253D_12,52,0,2021-02-21
B.1.487_G253D_16,52,0,2021-02-21
B.1.526_D253G_3,52,2,2021-02-21
B.1.1.7_E484K_10,52,2,2021-02-21
B.1.1.7_N501Y_4,52,2,2021-02-21
B.1.1.7_Y501N_6,52,2,2021-02-21
B.1.1.7_E484K_13,52,2,2021-02-21
B.1.2_E484K_24,52,2,2021-02-21
B.1_D253G_19,52,2,2021-02-21
B.1.2_D253G_20,52,2,2021-02-21
B.1.2_I205T_5,52,2,2021-02-21
B.1.1.7_N501Y_15,52,2,2021-02-21
B.1_L452R_9,52,2,2021-02-21
B.1_T205I_27,52,2,2021-02-21
B.1_R452L_4,52,2,2021-02-21
B.1.526_E484K_37,52,2,2021-02-21
B.1.526_N501Y_19,52,2,2021-02-21
B.1.1.29_E484K_39,52,2,2021-02-21
B.1.526_L452R_18,52,2,2021-02-21
B.1.526_S477N_9,52,2,2021-02-21
B.1.526_E484K_43,52,2,2021-02-21
B.1.526_K484E_5,52,2,2021-02-21
B.1_K484E_7,52,3,2021-02-21
anc,53,95,2021-02-28
B.1.332_S13X_9,53,0,2021-02-28
B.1.2_T205I_10,53,0,2021-02-28
B.1.361_S13X_10,53,0,2021-02-28
B.1.110.3_K484E_3,53,0,2021-02-28
B.1.517_N501T_3,53,5,2021-02-28
B.1.433_T205I_12,53,0,2021-02-28
2lin_T205I_1,53,0,2021-02-28
B.1.1.70_S13X_7,53,0,2021-02-28
B.1.351_T205I_8,53,2,2021-02-28
B.1.280_T205I_5,53,0,2021-02-28
B.1.3_D253G_10,53,0,2021-02-28
B.1.160_S477N_1,53,0,2021-02-28
P.2_E484K_12,53,0,2021-02-28
B.1.240_S13X_3,53,0,2021-02-28
B.1_T205I_11,53,0,2021-02-28
B.1.429_S13I_3,53,19,2021-02-28
B.1_T205I_16,53,1,2021-02-28
B.1.526_D253G_37,53,28,2021-02-28
B.1.1.247_N501T_2,53,4,2021-02-28
B.1_T205I_23,53,36,2021-02-28
B.1.1.64_S13X_5,53,0,2021-02-28
C.16_L452R_4,53,0,2021-02-28
B.1.526_S477N_11,53,117,2021-02-28
B.1.2_S13X_12,53,0,2021-02-28
B.1.2_D253Y_2,53,0,2021-02-28
B.1_L452R_15,53,71,2021-02-28
B.1.111_T205I_6,53,3,2021-02-28
B.1.177_S13X_1,53,0,2021-02-28
R.1_E484K_9,53,8,2021-02-28
B.1.2_T205X_2,53,0,2021-02-28
B.1.165_N501Y_14,53,7,2021-02-28
B.1.526_S477N_12,53,20,2021-02-28
B.1.526_E484K_45,53,174,2021-02-28
B.1.1.207_E484K_4,53,0,2021-02-28
B.1.139_T205I_2,53,0,2021-02-28
B.1_S13X_2,53,0,2021-02-28
B.1.1.107_S13X_8,53,0,2021-02-28
B.1.1.7_N501Y_5,53,108,2021-02-28
B.1.2_S13X_13,53,0,2021-02-28
B.1.2_N501Y_11,53,1,2021-02-28
B.1.2_S13X_14,53,0,2021-02-28
A.2.4_L452R_1,53,5,2021-02-28
B.1.1.64_S13X_6,53,0,2021-02-28
B.1.362_L452R_5,53,0,2021-02-28
B.1_E484K_26,53,2,2021-02-28
B.1.526_T205I_32,53,0,2021-02-28
B.1.1.64_S13X_4,53,0,2021-02-28
B.1.243_T205X_1,53,0,2021-02-28
R.2_E484K_8,53,0,2021-02-28
B.1.517_S13X_11,53,0,2021-02-28
B.1.375_S477R_1,53,0,2021-02-28
A.20_D253Y_1,53,0,2021-02-28
B.1.243_E484Q_1,53,0,2021-02-28
B.1.1.10_L452R_2,53,0,2021-02-28
B.1.1.318_E484K_11,53,2,2021-02-28
B.1.111_E484K_3,53,1,2021-02-28
B.1.404_S477N_2,53,0,2021-02-28
C.2_N501T_1,53,0,2021-02-28
B.1_N501Y_7,53,0,2021-02-28
B.1_E484K_18,53,1,2021-02-28
B.1_D253G_14,53,0,2021-02-28
B.1.526_E484K_22,53,0,2021-02-28
B.1.2_D253G_18,53,0,2021-02-28
B.1.110.3_N501T_4,53,0,2021-02-28
B.1_D253G_30,53,1,2021-02-28
B.1.526_D253G_31,53,0,2021-02-28
B.1_I205T_8,53,2,2021-02-28
B.1_L452R_17,53,0,2021-02-28
B.1_D253G_36,53,1,2021-02-28
2lin_N501Y_20,53,2,2021-02-28
B.1.526_N477S_1,53,1,2021-02-28
B.1.526_T205I_34,53,0,2021-02-28
2lin_G253D_18,53,1,2021-02-28
B.1.2_T205I_3,53,0,2021-02-28
B.1.525_T205I_4,53,0,2021-02-28
B.1.526_D253G_4,53,0,2021-02-28
B.1.1.7_N501Y_1,53,0,2021-02-28
B.1.1.222_D253G_5,53,0,2021-02-28
B.1.1.1_L452R_3,53,0,2021-02-28
B.1.1.220_E484K_5,53,0,2021-02-28
B.1.1.130_E484K_6,53,0,2021-02-28
B.1_E484K_7,53,0,2021-02-28
B.1_D253G_7,53,1,2021-02-28
B.1.1.7_N501Y_3,53,1,2021-02-28
B.1.241_D253G_9,53,0,2021-02-28
B.1.1.7_Y501N_5,53,1,2021-02-28
B.1_D253G_11,53,1,2021-02-28
B.1.526_D253G_12,53,0,2021-02-28
B.1.526_D253G_17,53,1,2021-02-28
B.1_I205T_2,53,0,2021-02-28
B.1.2_T205I_13,53,0,2021-02-28
B.1.2_E484Q_2,53,0,2021-02-28
B.1.2_E484K_25,53,0,2021-02-28
B.1.2_T205I_14,53,1,2021-02-28
B.1_T205I_15,53,0,2021-02-28
B.1_L452R_6,53,0,2021-02-28
B.1_I205T_3,53,0,2021-02-28
B.1_L452R_7,53,0,2021-02-28
B.1.241_T205I_17,53,0,2021-02-28
B.1_T205I_18,53,0,2021-02-28
B.1_T205I_20,53,0,2021-02-28
B.1_T205I_21,53,0,2021-02-28
B.1_D253G_22,53,0,2021-02-28
B.1.2_D253G_24,53,0,2021-02-28
B.1_D253G_25,53,3,2021-02-28
B.1_S477N_5,53,0,2021-02-28
2lin_T205I_25,53,1,2021-02-28
B.1_E484K_32,53,0,2021-02-28
B.1.526_D253G_29,53,1,2021-02-28
B.1.526_D253G_32,53,1,2021-02-28
B.1_T205I_28,53,0,2021-02-28
B.1_D253G_33,53,0,2021-02-28
B.1_I205T_6,53,0,2021-02-28
B.1_L452R_16,53,0,2021-02-28
B.1_D253G_35,53,1,2021-02-28
B.1.526_S477N_7,53,0,2021-02-28
B.1.526_E484K_40,53,0,2021-02-28
B.1.526_S13I_5,53,0,2021-02-28
B.1_G253D_8,53,0,2021-02-28
B.1_G253D_9,53,0,2021-02-28
B.1.526_T205I_33,53,0,2021-02-28
B.1_G253S_1,53,0,2021-02-28
B.1.526_T205I_35,53,0,2021-02-28
B.1_G253D_11,53,2,2021-02-28
B.1_G253D_12,53,0,2021-02-28
B.1.487_G253D_16,53,0,2021-02-28
B.1.526_D253G_3,53,0,2021-02-28
B.1.1.7_E484K_10,53,0,2021-02-28
B.1.1.7_N501Y_4,53,0,2021-02-28
B.1.1.7_Y501N_6,53,0,2021-02-28
B.1.1.7_E484K_13,53,1,2021-02-28
B.1.2_E484K_24,53,0,2021-02-28
B.1_D253G_19,53,0,2021-02-28
B.1.2_D253G_20,53,0,2021-02-28
B.1.2_I205T_5,53,0,2021-02-28
B.1.1.7_N501Y_15,53,0,2021-02-28
B.1_L452R_9,53,0,2021-02-28
B.1_T205I_27,53,0,2021-02-28
B.1_R452L_4,53,0,2021-02-28
B.1.526_E484K_37,53,0,2021-02-28
B.1.526_N501Y_19,53,1,2021-02-28
B.1.1.29_E484K_39,53,0,2021-02-28
B.1.526_L452R_18,53,0,2021-02-28
B.1.526_S477N_9,53,0,2021-02-28
B.1.526_E484K_43,53,1,2021-02-28
B.1.526_K484E_5,53,0,2021-02-28
B.1_K484E_7,53,1,2021-02-28
B.1_D253G_1,53,2,2021-02-28
B.1.1.7_Y501N_7,53,2,2021-02-28
B.1.480_N501Y_8,53,2,2021-02-28
B.1_T205I_9,53,2,2021-02-28
B.1_D253G_15,53,2,2021-02-28
B.1.1.7_N501Y_10,53,2,2021-02-28
B.1.526_D253G_16,53,2,2021-02-28
B.1.2_S477N_4,53,2,2021-02-28
B.1_R452L_2,53,2,2021-02-28
B.1_T205I_19,53,2,2021-02-28
B.1.165_T205I_22,53,2,2021-02-28
B.1_E484K_29,53,2,2021-02-28
B.1_D253G_28,53,2,2021-02-28
B.1_I205T_7,53,2,2021-02-28
B.1_E484K_35,53,2,2021-02-28
B.1.526_E484K_42,53,2,2021-02-28
B.1_G253D_6,53,2,2021-02-28
2lin_G253D_7,53,2,2021-02-28
B.1.526_N477S_2,53,2,2021-02-28
anc,54,354,2021-03-07
B.1.332_S13X_9,54,0,2021-03-07
B.1.2_T205I_10,54,0,2021-03-07
B.1.361_S13X_10,54,0,2021-03-07
B.1.110.3_K484E_3,54,0,2021-03-07
B.1.517_N501T_3,54,2,2021-03-07
B.1.433_T205I_12,54,0,2021-03-07
2lin_T205I_1,54,0,2021-03-07
B.1.1.70_S13X_7,54,0,2021-03-07
B.1.351_T205I_8,54,0,2021-03-07
B.1.280_T205I_5,54,0,2021-03-07
B.1.3_D253G_10,54,0,2021-03-07
B.1.160_S477N_1,54,0,2021-03-07
P.2_E484K_12,54,0,2021-03-07
B.1.240_S13X_3,54,0,2021-03-07
B.1_T205I_11,54,0,2021-03-07
B.1.429_S13I_3,54,16,2021-03-07
B.1_T205I_16,54,2,2021-03-07
B.1.526_D253G_37,54,75,2021-03-07
B.1.1.247_N501T_2,54,3,2021-03-07
B.1_T205I_23,54,37,2021-03-07
B.1.1.64_S13X_5,54,0,2021-03-07
C.16_L452R_4,54,0,2021-03-07
B.1.526_S477N_11,54,90,2021-03-07
B.1.2_S13X_12,54,0,2021-03-07
B.1.2_D253Y_2,54,0,2021-03-07
B.1_L452R_15,54,57,2021-03-07
B.1.111_T205I_6,54,4,2021-03-07
B.1.177_S13X_1,54,0,2021-03-07
R.1_E484K_9,54,10,2021-03-07
B.1.2_T205X_2,54,0,2021-03-07
B.1.165_N501Y_14,54,11,2021-03-07
B.1.526_S477N_12,54,12,2021-03-07
B.1.526_E484K_45,54,217,2021-03-07
B.1.1.207_E484K_4,54,0,2021-03-07
B.1.139_T205I_2,54,0,2021-03-07
B.1_S13X_2,54,0,2021-03-07
B.1.1.107_S13X_8,54,0,2021-03-07
B.1.1.7_N501Y_5,54,125,2021-03-07
B.1.2_S13X_13,54,0,2021-03-07
B.1.2_N501Y_11,54,7,2021-03-07
B.1.2_S13X_14,54,0,2021-03-07
A.2.4_L452R_1,54,3,2021-03-07
B.1.1.64_S13X_6,54,0,2021-03-07
B.1.362_L452R_5,54,0,2021-03-07
B.1_E484K_26,54,9,2021-03-07
B.1.526_T205I_32,54,0,2021-03-07
B.1.1.64_S13X_4,54,0,2021-03-07
B.1.243_T205X_1,54,0,2021-03-07
R.2_E484K_8,54,0,2021-03-07
B.1.517_S13X_11,54,0,2021-03-07
B.1.375_S477R_1,54,0,2021-03-07
A.20_D253Y_1,54,0,2021-03-07
B.1.243_E484Q_1,54,0,2021-03-07
B.1.1.10_L452R_2,54,0,2021-03-07
B.1.1.318_E484K_11,54,9,2021-03-07
B.1.111_E484K_3,54,2,2021-03-07
B.1.404_S477N_2,54,0,2021-03-07
C.2_N501T_1,54,0,2021-03-07
B.1_N501Y_7,54,0,2021-03-07
B.1_E484K_18,54,2,2021-03-07
B.1_D253G_14,54,0,2021-03-07
B.1.526_E484K_22,54,0,2021-03-07
B.1.2_D253G_18,54,0,2021-03-07
B.1.110.3_N501T_4,54,0,2021-03-07
B.1_D253G_30,54,9,2021-03-07
B.1.526_D253G_31,54,0,2021-03-07
B.1_I205T_8,54,0,2021-03-07
B.1_L452R_17,54,0,2021-03-07
B.1_D253G_36,54,4,2021-03-07
2lin_N501Y_20,54,0,2021-03-07
B.1.526_N477S_1,54,3,2021-03-07
B.1.526_T205I_34,54,0,2021-03-07
2lin_G253D_18,54,2,2021-03-07
B.1.2_T205I_3,54,0,2021-03-07
B.1.525_T205I_4,54,0,2021-03-07
B.1.526_D253G_4,54,0,2021-03-07
B.1.1.7_N501Y_1,54,0,2021-03-07
B.1.1.222_D253G_5,54,0,2021-03-07
B.1.1.1_L452R_3,54,0,2021-03-07
B.1.1.220_E484K_5,54,0,2021-03-07
B.1.1.130_E484K_6,54,0,2021-03-07
B.1_E484K_7,54,0,2021-03-07
B.1_D253G_7,54,2,2021-03-07
B.1.1.7_N501Y_3,54,2,2021-03-07
B.1.241_D253G_9,54,0,2021-03-07
B.1.1.7_Y501N_5,54,6,2021-03-07
B.1_D253G_11,54,2,2021-03-07
B.1.526_D253G_12,54,0,2021-03-07
B.1.526_D253G_17,54,3,2021-03-07
B.1_I205T_2,54,0,2021-03-07
B.1.2_T205I_13,54,0,2021-03-07
B.1.2_E484Q_2,54,0,2021-03-07
B.1.2_E484K_25,54,0,2021-03-07
B.1.2_T205I_14,54,2,2021-03-07
B.1_T205I_15,54,0,2021-03-07
B.1_L452R_6,54,0,2021-03-07
B.1_I205T_3,54,0,2021-03-07
B.1_L452R_7,54,0,2021-03-07
B.1.241_T205I_17,54,0,2021-03-07
B.1_T205I_18,54,0,2021-03-07
B.1_T205I_20,54,0,2021-03-07
B.1_T205I_21,54,0,2021-03-07
B.1_D253G_22,54,0,2021-03-07
B.1.2_D253G_24,54,0,2021-03-07
B.1_D253G_25,54,6,2021-03-07
B.1_S477N_5,54,0,2021-03-07
2lin_T205I_25,54,2,2021-03-07
B.1_E484K_32,54,0,2021-03-07
B.1.526_D253G_29,54,3,2021-03-07
B.1.526_D253G_32,54,2,2021-03-07
B.1_T205I_28,54,0,2021-03-07
B.1_D253G_33,54,0,2021-03-07
B.1_I205T_6,54,0,2021-03-07
B.1_L452R_16,54,0,2021-03-07
B.1_D253G_35,54,2,2021-03-07
B.1.526_S477N_7,54,0,2021-03-07
B.1.526_E484K_40,54,0,2021-03-07
B.1.526_S13I_5,54,0,2021-03-07
B.1_G253D_8,54,0,2021-03-07
B.1_G253D_9,54,0,2021-03-07
B.1.526_T205I_33,54,0,2021-03-07
B.1_G253S_1,54,0,2021-03-07
B.1.526_T205I_35,54,0,2021-03-07
B.1_G253D_11,54,12,2021-03-07
B.1_G253D_12,54,0,2021-03-07
B.1.487_G253D_16,54,0,2021-03-07
B.1.526_D253G_3,54,0,2021-03-07
B.1.1.7_E484K_10,54,0,2021-03-07
B.1.1.7_N501Y_4,54,0,2021-03-07
B.1.1.7_Y501N_6,54,0,2021-03-07
B.1.1.7_E484K_13,54,2,2021-03-07
B.1.2_E484K_24,54,0,2021-03-07
B.1_D253G_19,54,0,2021-03-07
B.1.2_D253G_20,54,0,2021-03-07
B.1.2_I205T_5,54,0,2021-03-07
B.1.1.7_N501Y_15,54,0,2021-03-07
B.1_L452R_9,54,0,2021-03-07
B.1_T205I_27,54,0,2021-03-07
B.1_R452L_4,54,0,2021-03-07
B.1.526_E484K_37,54,0,2021-03-07
B.1.526_N501Y_19,54,2,2021-03-07
B.1.1.29_E484K_39,54,0,2021-03-07
B.1.526_L452R_18,54,0,2021-03-07
B.1.526_S477N_9,54,0,2021-03-07
B.1.526_E484K_43,54,7,2021-03-07
B.1.526_K484E_5,54,0,2021-03-07
B.1_K484E_7,54,2,2021-03-07
B.1_D253G_1,54,0,2021-03-07
B.1.1.7_Y501N_7,54,0,2021-03-07
B.1.480_N501Y_8,54,0,2021-03-07
B.1_T205I_9,54,0,2021-03-07
B.1_D253G_15,54,0,2021-03-07
B.1.1.7_N501Y_10,54,0,2021-03-07
B.1.526_D253G_16,54,2,2021-03-07
B.1.2_S477N_4,54,0,2021-03-07
B.1_R452L_2,54,0,2021-03-07
B.1_T205I_19,54,0,2021-03-07
B.1.165_T205I_22,54,0,2021-03-07
B.1_E484K_29,54,0,2021-03-07
B.1_D253G_28,54,2,2021-03-07
B.1_I205T_7,54,2,2021-03-07
B.1_E484K_35,54,3,2021-03-07
B.1.526_E484K_42,54,0,2021-03-07
B.1_G253D_6,54,0,2021-03-07
2lin_G253D_7,54,2,2021-03-07
B.1.526_N477S_2,54,0,2021-03-07
A.2.4_R452L_1,54,2,2021-03-07
B.1.526_D253G_2,54,2,2021-03-07
B.1_E484K_2,54,2,2021-03-07
B.1_S13I_1,54,2,2021-03-07
B.1_T205I_7,54,2,2021-03-07
B.1.1_N501Y_2,54,2,2021-03-07
B.1_D253G_8,54,2,2021-03-07
B.1.1.29_K484E_1,54,2,2021-03-07
B.1.160_S477N_3,54,2,2021-03-07
B.1.1.7_Y501N_1,54,2,2021-03-07
B.1.1.7_Y501N_3,54,2,2021-03-07
B.1.1.7_Y501N_4,54,2,2021-03-07
B.1.1.7_N501Y_6,54,2,2021-03-07
B.1.1.7_Y501N_8,54,2,2021-03-07
B.1.1.7_Y501N_9,54,2,2021-03-07
B.1.1.7_Y501N_10,54,2,2021-03-07
B.1_S13I_2,54,2,2021-03-07
B.1_E484K_14,54,2,2021-03-07
B.1.487_E484K_15,54,2,2021-03-07
B.1_E484K_16,54,2,2021-03-07
B.1.526_D253G_13,54,2,2021-03-07
B.1_N501Y_9,54,2,2021-03-07
B.1_E484K_17,54,2,2021-03-07
B.1_E484K_19,54,2,2021-03-07
B.1_E484K_20,54,3,2021-03-07
B.1.487_E484K_21,54,2,2021-03-07
B.1.526_E484K_23,54,2,2021-03-07
B.1.2_N501Y_12,54,2,2021-03-07
B.1.429_I13S_1,54,5,2021-03-07
B.1.429_S13I_4,54,2,2021-03-07
B.1.526_K484E_2,54,2,2021-03-07
B.1_N501Y_13,54,2,2021-03-07
B.1_E484K_27,54,2,2021-03-07
B.1_E484K_28,54,2,2021-03-07
B.1_L452R_8,54,2,2021-03-07
B.1.1.7_I205T_4,54,2,2021-03-07
B.1_N501Y_16,54,2,2021-03-07
B.1.40_L452R_10,54,2,2021-03-07
B.1_T205I_24,54,2,2021-03-07
B.1_E484K_30,54,2,2021-03-07
B.1.526_D253G_23,54,2,2021-03-07
B.1_N501Y_17,54,2,2021-03-07
B.1_G253D_1,54,2,2021-03-07
B.1_N501Y_18,54,2,2021-03-07
B.1_S477N_6,54,2,2021-03-07
B.1_D253G_26,54,5,2021-03-07
B.1_L452R_11,54,2,2021-03-07
B.1_E484K_31,54,2,2021-03-07
B.1_L452R_12,54,3,2021-03-07
B.1_D253G_27,54,2,2021-03-07
B.1_L452R_13,54,2,2021-03-07
B.1_E484K_33,54,4,2021-03-07
B.1_G253D_2,54,2,2021-03-07
B.1.526_T205I_26,54,2,2021-03-07
B.1_L452R_14,54,2,2021-03-07
B.1_R452L_3,54,2,2021-03-07
B.1_R452L_5,54,2,2021-03-07
B.1_D253G_34,54,2,2021-03-07
B.1_E484K_34,54,2,2021-03-07
B.1_T205I_30,54,2,2021-03-07
B.1_G253D_3,54,2,2021-03-07
2lin_E484K_38,54,7,2021-03-07
B.1.526_K484E_4,54,2,2021-03-07
B.1_G253D_4,54,2,2021-03-07
B.1.526_S477N_10,54,2,2021-03-07
B.1.526_T205I_31,54,2,2021-03-07
B.1.526_E484K_41,54,2,2021-03-07
B.1_G253D_5,54,2,2021-03-07
B.1.526_L452M_1,54,2,2021-03-07
B.1.526_E484K_44,54,2,2021-03-07
B.1.526_S477N_13,54,2,2021-03-07
B.1.487_G253D_10,54,2,2021-03-07
B.1.526_K484E_6,54,2,2021-03-07
B.1.526_S477N_14,54,2,2021-03-07
B.1.2_G253D_13,54,2,2021-03-07
B.1.2_G253D_14,54,3,2021-03-07
B.1.487_G253D_15,54,2,2021-03-07
B.1_G253D_17,54,2,2021-03-07
B.1.487_G253D_19,54,4,2021-03-07
